delta_m,delta_M,D_l
0.1,0.01,0.0253247203221012
0.1,0.011,0.024866927121433003
0.1,0.012,0.024411607518612898
0.1,0.013000000000000001,0.02395882062965054
0.1,0.014,0.0235086243348925
0.1,0.015,0.023061077006141132
0.1,0.016,0.02261623967638954
0.1,0.017,0.022174178471729367
0.1,0.018000000000000002,0.02173496712042458
0.1,0.019000000000000003,0.021298689387785483
0.1,0.02,0.020865441341979343
0.1,0.020999999999999998,0.02043533341472066
0.1,0.022,0.020008492270171038
0.1,0.023,0.019585062526603903
0.1,0.024,0.019165208389047454
0.1,0.025,0.018749115249935354
0.1,0.026000000000000002,0.018336991303000347
0.1,0.027000000000000003,0.01792906919616089
0.1,0.028000000000000004,0.017525607725493324
0.1,0.028999999999999998,0.017126893543888484
0.10400000000000001,0.01,0.02324185115107172
0.10400000000000001,0.011,0.02278211130029176
0.10400000000000001,0.012,0.022325050341591088
0.10400000000000001,0.013000000000000001,0.021870746732058067
0.10400000000000001,0.014,0.021419275994415142
0.10400000000000001,0.015,0.020970712600857457
0.10400000000000001,0.016,0.02052513278839615
0.10400000000000001,0.017,0.020082618034524095
0.10400000000000001,0.018000000000000002,0.019643258848517517
0.10400000000000001,0.019000000000000003,0.01920715855770716
0.10400000000000001,0.02,0.01877443686450328
0.10400000000000001,0.020999999999999998,0.018345233071737167
0.10400000000000001,0.022,0.017919708982226765
0.10400000000000001,0.023,0.017498051549192515
0.10400000000000001,0.024,0.017080475384319407
0.10400000000000001,0.025,0.016667225226406634
0.10400000000000001,0.026000000000000002,0.016258578445899563
0.10400000000000001,0.027000000000000003,0.015854847616911576
0.10400000000000001,0.028000000000000004,0.015456383134932448
0.10400000000000001,0.028999999999999998,0.01506357579736672
0.10800000000000001,0.01,0.021163179396252535
0.10800000000000001,0.011,0.020700965459709536
0.10800000000000001,0.012,0.020241656664167187
0.10800000000000001,0.013000000000000001,0.019785360559392586
0.10800000000000001,0.014,0.01933217966051786
0.10800000000000001,0.015,0.018882212870399737
0.10800000000000001,0.016,0.018435558754303128
0.10800000000000001,0.017,0.017992320387021553
0.10800000000000001,0.018000000000000002,0.017552611178375067
0.10800000000000001,0.019000000000000003,0.01711656099303499
0.10800000000000001,0.02,0.016684322015528056
0.10800000000000001,0.020999999999999998,0.01625607406739585
0.10800000000000001,0.022,0.01583202933946685
0.10800000000000001,0.023,0.015412436676551846
0.10800000000000001,0.024,0.014997585624397675
0.10800000000000001,0.025,0.0145878104358034
0.10800000000000001,0.026000000000000002,0.014183494161795054
0.10800000000000001,0.027000000000000003,0.013785072845792168
0.10800000000000001,0.028000000000000004,0.013393039708715183
0.10800000000000001,0.028999999999999998,0.01300794907177645
0.112,0.01,0.019089910757169266
0.112,0.011,0.018624542267346472
0.112,0.012,0.01816231944223239
0.112,0.013000000000000001,0.01770339370202662
0.112,0.014,0.017247910150773253
0.112,0.015,0.016796006918223503
0.112,0.016,0.016347817776782066
0.112,0.017,0.015903478279065256
0.112,0.018000000000000002,0.01546313466315437
0.112,0.019000000000000003,0.015026954128614102
0.112,0.02,0.014595135091545336
0.112,0.020999999999999998,0.01416791654282749
0.112,0.022,0.013745586286103126
0.112,0.023,0.013328488309334285
0.112,0.024,0.012917029738666565
0.112,0.025,0.01251168777651344
0.112,0.026000000000000002,0.012113016820767491
0.112,0.027000000000000003,0.01172165566335438
0.112,0.028000000000000004,0.011338334319457887
0.112,0.028999999999999998,0.010963879704227623
0.116,0.01,0.017023826740882646
0.116,0.011,0.01655442020606677
0.116,0.012,0.016088397042365293
0.116,0.013000000000000001,0.01562597261758171
0.116,0.014,0.01516735945711442
0.116,0.015,0.014712761503378418
0.116,0.016,0.014262372586486119
0.116,0.017,0.013816381768801211
0.116,0.018000000000000002,0.013374985987255126
0.116,0.019000000000000003,0.012938407737711632
0.116,0.02,0.012506914272274251
0.116,0.020999999999999998,0.012080835515591604
0.116,0.022,0.01166057967437069
0.116,0.023,0.011246647001773982
0.116,0.024,0.010839642782846687
0.116,0.025,0.010440290416055445
