index,leader,error,error_optimal,delta_error
0,87,464.42394868101724,464.3502295538196,0.0737191271976485
1,87,452.99034318291734,452.96353219404773,0.026810988869613084
2,87,462.22066467619726,462.12063556484003,0.10002911135723025
3,14,452.1417527665718,451.58959916910624,0.5521535974655762
4,14,419.1690604464976,418.84998467827825,0.31907576821936345
5,14,430.86462976349515,430.76439892700154,0.10023083649360842
6,87,451.32210101623633,451.16963091511354,0.15247010112278758
7,14,417.86084326851045,417.5046684723186,0.35617479619185133
8,14,451.1969898399056,450.6028130961444,0.5941767437611816
9,87,447.53897549263695,447.4114579360341,0.1275175566028679
10,14,432.0757248578301,432.07480777468874,0.0009170831413598535
11,14,446.2325008635502,446.00682514179886,0.22567572175131545
12,87,455.9639472700533,455.77429395658373,0.18965331346959147
13,87,463.0970139147955,463.0563307764784,0.040683138317149314
14,14,432.84267410947757,432.84267410947757,0.0
15,14,433.2387339621031,433.1021676036109,0.136566358492189
16,87,452.4422338779161,452.4071239315073,0.03510994640885201
17,14,416.2355554935832,415.7909195425564,0.44463595102678255
18,14,433.85764399939836,433.7814730779243,0.07617092147404492
19,14,436.8402447933133,436.682600216162,0.1576445771513022
20,14,423.3273656063395,423.2106100632553,0.11675554308425262
21,14,436.5184838551053,436.41842504577227,0.1000588093330066
22,87,451.0253907436075,450.8388678689088,0.18652287469870998
23,87,460.70612219562753,460.68483416929575,0.02128802633177429
24,14,438.05565273403295,438.00154493543903,0.05410779859391823
25,87,458.9390065924438,458.9278602674875,0.011146324956257558
26,14,430.02498883640123,429.70796527770017,0.3170235587010666
27,14,436.2370423892528,435.888821689267,0.3482206999858022
28,14,438.0633532147828,437.89986406733453,0.16348914744827425
29,14,438.0071520902429,437.9391133863684,0.06803870387454936
30,14,439.7609545852951,439.3053214545744,0.4556331307206847
31,14,426.147497633726,426.08729348194015,0.06020415178585381
32,14,452.06572645203534,451.5700706995723,0.49565575246305116
33,87,462.37942970545345,462.3304131642652,0.04901654118822307
34,14,431.3580665538732,431.34698414902715,0.011082404846035843
35,87,455.70647460087594,455.6621056763699,0.04436892450604546
36,87,447.5828100683627,447.3414671014596,0.241342966903062
37,14,443.87216647911833,443.67210025965994,0.20006621945839242
38,87,449.30753706678297,449.19914022372046,0.10839684306250774
39,14,420.1911806203412,419.86057217042037,0.33060844992081684
40,14,427.42315981068555,427.3139128901724,0.10924692051315787
41,87,446.7825872491133,446.6304843641463,0.1521028849670074
42,14,442.8996003480918,442.7257457382489,0.17385460984286283
43,14,436.2946219027523,436.059317724803,0.23530417794927416
44,87,445.2589822527879,444.96264925712364,0.2963329956642724
45,14,423.7042180056543,423.4638776373403,0.24034036831397998
46,14,451.40708769716446,450.8060830938144,0.6010046033500771
47,14,429.6857198003246,429.50608985740934,0.17962994291525547
48,14,416.73767768286905,416.32999437858484,0.4076833042842054
49,14,445.39633817755777,444.90143213128096,0.49490604627681023
50,14,446.89729916483503,446.6501056097197,0.24719355511535923
51,14,419.7957541273955,419.4837886805502,0.31196544684530636
52,87,457.9964249631574,457.9814845035402,0.01494045961720758
53,14,438.30466342315395,438.2510960040435,0.053567419110436276
54,14,443.7794901854746,443.4949529810513,0.284537204423259
55,14,440.7923543940705,440.49966665697593,0.29268773709458173
56,14,423.688168845341,423.57658918423294,0.11157966110806683
57,14,443.1385515827324,442.68048388935205,0.45806769338037157
58,14,434.4001163790365,434.2527573820436,0.14735899699286392
59,87,455.25284780636815,455.1463758729869,0.10647193338127181
60,14,454.60846223929065,454.00343096199566,0.6050312772949837
61,14,444.8801657135009,444.6445099767045,0.23565573679638874
62,14,436.7577537934817,436.52303348331225,0.23472031016945039
63,14,449.8419799888409,449.2769083826477,0.5650716061931575
64,87,451.4243257071464,451.3039023247047,0.12042338244168604
65,87,455.07332761918883,455.0620237127362,0.01130390645261059
66,14,434.5808933424187,434.56952700949654,0.011366332922136735
67,14,453.53449453924287,453.00001584337707,0.5344786958658005
68,14,451.12671986491046,450.7086714145971,0.4180484503133357
69,14,437.3383848894225,437.28620441720756,0.05218047221495681
70,87,454.28208821800814,454.26821774513553,0.013870472872611117
71,14,437.0725200386856,437.04553612768234,0.026983911003242156
72,87,444.60412004510954,444.3840334646797,0.22008658042983598
73,87,446.5777442255088,446.36958618823405,0.20815803727475668
74,14,434.2373456907322,434.216799524662,0.020546166070175786
75,14,424.4128881031792,424.3191451053616,0.09374299781762829
76,14,440.22845392576585,440.03394178195776,0.19451214380808324
77,14,423.2582374311782,422.95673526794786,0.30150216323033874
78,87,450.6535318771188,450.58646476639916,0.0670671107196199
79,14,451.8102814867721,451.17747162782905,0.6328098589430624
