i,j,D_l
0,0,0.0
0,1,0.05024590639940483
0,2,0.04832630202408617
0,3,0.009068521040316913
0,4,0.03386704971945588
0,5,0.01968162440140331
0,6,0.049455103551213776
0,7,0.011511372522903143
0,8,0.04998148428803086
0,9,0.03728015733984406
0,10,0.051849350477937615
0,11,0.041068910877929
0,12,0.016578665488383444
0,13,0.04648207998943716
0,14,0.010165585242713647
0,15,0.02568128866379003
0,16,0.04249516234962777
0,17,0.0255384483710719
0,18,0.014522604519403504
0,19,0.025592272215451666
0,20,0.02642290296797269
0,21,0.004197880783444057
0,22,0.006248944019748162
0,23,0.014951846151959627
0,24,0.029923979504734674
0,25,0.02760026435837851
0,26,0.033124765716746205
0,27,0.030421552455572754
0,28,0.00798832902558272
0,29,0.025985297314308955
0,30,0.03917041791970229
0,31,0.013616029599270555
0,32,0.05246153159802422
0,33,0.015518716087475744
0,34,0.05237410635119083
0,35,0.012831009613660781
0,36,0.007313038081195217
0,37,0.008913176439305278
0,38,0.014223474605859219
0,39,0.046963231359235615
0,40,0.041623173232451
0,41,0.009539561827598039
0,42,0.012029848850428434
0,43,0.042016658067182244
0,44,0.03612529853448841
0,45,0.016502355943167058
0,46,0.028052147012055384
0,47,0.04052352477935781
0,48,0.04604235511334681
0,49,0.014859105477766449
0,50,0.030500843867008194
0,51,0.007076623026643645
0,52,0.04927359583374119
0,53,0.007693859288900045
0,54,0.02830198725645515
0,55,0.02713360404715128
0,56,0.014762763886342036
0,57,0.044665400049376
0,58,0.006398625045535435
0,59,0.02825341933987671
0,60,0.012943651437820579
0,61,0.036839739823331094
0,62,0.017566173758137748
0,63,0.02369866418257282
0,64,0.02612532120730944
0,65,0.005426510484597026
0,66,0.012529778215028781
0,67,0.04860383977792815
0,68,0.004024311028565968
0,69,0.04102071336018816
0,70,0.010211303342033524
0,71,0.041997422378901035
0,72,0.012345080208823193
0,73,0.05437711205684373
0,74,0.023636355144737938
0,75,0.0012960174053468277
0,76,0.04721880759385573
0,77,0.019166197500093376
0,78,0.010117349508386756
0,79,0.007953940871126204
0,80,0.014476991125677961
0,81,0.015739081316083127
0,82,0.05405386438526493
0,83,0.02216838318789452
0,84,0.00803892591280903
0,85,0.04333180997051013
0,86,0.04516802827117611
0,87,0.013875979721086966
0,88,0.0193669060321027
0,89,0.016640642190009193
0,90,0.021220684213371317
0,91,0.047844167869147074
0,92,0.029314123324120502
0,93,0.05395602261083947
0,94,0.01235219802880035
0,95,0.051365971133245265
0,96,0.049230004136057055
0,97,0.0012891252369350845
0,98,0.043036806493128556
0,99,0.024436208176084814
1,0,0.05024590639940483
1,1,0.0
1,2,0.00518816919886004
1,3,0.04140978009440065
1,4,0.01648081049179682
1,5,0.03059524699239788
1,6,0.004269834299542856
1,7,0.03889351145335651
