method,group_id,leader,member,delta_error,leader_error,optimal_error
groups,0,87,12,0.18965331346959147,455.9639472700533,455.77429395658373
groups,0,87,72,0.22008658042983598,444.60412004510954,444.3840334646797
groups,0,87,9,0.1275175566028679,447.53897549263695,447.4114579360341
groups,0,87,91,0.18618204782166003,445.588535704191,445.4023536563693
groups,0,87,16,0.03510994640885201,452.4422338779161,452.4071239315073
groups,0,87,41,0.1521028849670074,446.7825872491133,446.6304843641463
groups,0,87,1,0.026810988869613084,452.99034318291734,452.96353219404773
groups,0,87,93,0.01788921119856468,458.4393074671504,458.42141825595183
groups,0,87,97,0.02818575112360122,459.66981527382666,459.64162952270306
groups,0,87,65,0.01130390645261059,455.07332761918883,455.0620237127362
groups,0,87,70,0.013870472872611117,454.28208821800814,454.26821774513553
groups,0,87,33,0.04901654118822307,462.37942970545345,462.3304131642652
groups,0,87,78,0.0670671107196199,450.6535318771188,450.58646476639916
groups,0,87,89,0.10257706230760277,449.2048430249439,449.1022659626363
groups,0,87,23,0.02128802633177429,460.70612219562753,460.68483416929575
groups,0,87,38,0.10839684306250774,449.30753706678297,449.19914022372046
groups,0,87,87,0.0,457.52750113829416,457.52750113829416
groups,0,87,73,0.20815803727475668,446.5777442255088,446.36958618823405
groups,0,87,13,0.040683138317149314,463.0970139147955,463.0563307764784
groups,0,87,44,0.2963329956642724,445.2589822527879,444.96264925712364
groups,0,87,25,0.011146324956257558,458.9390065924438,458.9278602674875
groups,0,87,52,0.01494045961720758,457.9964249631574,457.9814845035402
groups,0,87,36,0.241342966903062,447.5828100683627,447.3414671014596
groups,0,87,64,0.12042338244168604,451.4243257071464,451.3039023247047
groups,0,87,35,0.04436892450604546,455.70647460087594,455.6621056763699
groups,0,87,6,0.15247010112278758,451.32210101623633,451.16963091511354
groups,0,87,0,0.0737191271976485,464.42394868101724,464.3502295538196
groups,0,87,22,0.18652287469870998,451.0253907436075,450.8388678689088
