i,j,D_l
0,0,0.0
0,1,0.038997144110858604
0,2,0.0206023206684494
0,3,0.019618779909924864
0,4,0.01694192857313943
0,5,0.027481628975475143
0,6,0.023080610394395254
0,7,0.003810282039909012
0,8,0.002918615404715931
0,9,0.008344226438103088
0,10,0.0016242384264544875
0,11,0.013566469836747773
0,12,0.035473942174638104
0,13,0.0028294062924454876
0,14,0.034158633589489056
0,15,0.0024824253450663547
0,16,0.01806423037393366
0,17,0.013919304502893342
0,18,0.02745315356064399
0,19,0.005546908424676673
0,20,0.026315452523914724
0,21,0.030955713054328003
0,22,0.0021952379137265988
0,23,0.02789199931338049
0,24,0.022004962543974698
0,25,0.03366865504796488
0,26,0.01195127729063695
0,27,0.012796088133286858
0,28,0.003034814898986853
0,29,0.038681646164412796
0,30,0.003216046048032204
0,31,0.03239739976907155
0,32,0.01514904343313458
0,33,0.005119348089339127
0,34,0.0034182152569763678
0,35,0.0028650359448153364
0,36,0.031800627143752834
0,37,0.03890374389268029
0,38,0.008352203889172282
0,39,0.0014374542120782134
0,40,0.02608033537190412
0,41,0.010254904549175051
0,42,0.008215721514261828
0,43,0.01657195692028126
0,44,0.04080250629420974
0,45,0.010432505704768554
0,46,0.03362453763233674
0,47,0.026230747130410032
0,48,0.0028308791371457467
0,49,0.017134085386645428
0,50,0.024160721049794633
0,51,0.029868810523857
0,52,0.01518920700967206
0,53,0.02010628075291596
0,54,0.004576100579989416
0,55,0.015686243258879337
0,56,0.013403575736968374
0,57,0.0013405420806319522
0,58,0.005101086186659995
0,59,0.024391184843538298
0,60,0.015517830267348792
0,61,0.03296519339906638
0,62,0.016477340770161476
0,63,0.0017395158533154767
0,64,0.025517900154922404
0,65,0.0029008132464166314
0,66,0.0008367968906817571
0,67,0.024981225533513972
0,68,0.04214146939665029
0,69,0.02686010988155401
0,70,0.02996244426706859
0,71,0.0011703927664781352
0,72,0.009407925178073599
0,73,0.008711121914434393
0,74,0.0158571417249429
0,75,0.007311473897412456
0,76,0.006606082124601915
0,77,0.018816948603702654
0,78,0.012128086296191123
0,79,0.024878962152635617
0,80,0.0030362296105786975
0,81,0.013521452174940022
0,82,0.00913626308007185
0,83,0.024474171655448074
0,84,0.024240746172958714
0,85,0.008854492981778641
0,86,0.014504487427099307
0,87,0.0010580182552694466
0,88,0.02108254004085456
0,89,0.0038483704859504095
0,90,0.008982388448647788
0,91,0.004468184530089115
0,92,0.012363467231584744
0,93,0.018156554128317896
0,94,0.03504176017176742
0,95,0.028254061332938344
0,96,0.023821395920149577
0,97,0.02830887388934044
