t,y1(58),y2(12),y3(80),y4(22),y5(36),y6(70),y7(65),y8(0),y9(75),y10(78),y11(97),y12(60),y13(21),y14(51),y15(68),y16(37),y17(41),y18(35),y19(79),y20(23),y21(94),y22(14),y23(84),y24(87),y25(31),y26(18)
0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,-1.7221600385420297,-1.7171525587945216,-1.8771949418439153,-1.6436061449993158,-1.6493634881719903,-1.765306544058471,-1.842199138502923,-1.77792347639868,-1.626181293404698,-1.6799975450531581,-1.7487092421142771,-1.6485289740781055,-1.6113237743833015,-1.7510149084458217,-1.7940098773669646,-1.8286860573551842,-1.7434603370708008,-1.7235605010623447,-1.7039708406999448,-1.6988312906933352,-1.6357835455218188,-1.732120988078393,-1.683312218701094,-1.7976657963283833,-1.7193070067097203,-1.6320420960246966
2,-0.7836318637531187,-0.7847381282772896,-0.9092962008956595,-0.8035819099283933,-0.6637254424232242,-0.7215201815019009,-0.7744649139332679,-0.7892538341576129,-0.8342368934028904,-0.6955858611036794,-0.8433075275895506,-0.6775250271696175,-0.9693152627853819,-0.605338369672335,-0.9838781345655887,-0.73370283246447,-0.8384290810477488,-0.6640169300579997,-0.7191673319480336,-0.7945119250754361,-0.8325473082531696,-0.788795858202235,-0.8838914611105942,-0.7722077915242418,-0.7516224570770125,-0.6944603907104824
3,-0.2620740504191059,-0.30849456424316524,-0.5253794572024528,-0.44575985188470546,-0.4587925848875777,-0.20859918989141396,-0.17779031209701224,-0.1937585027320315,-0.3347765722896979,-0.2748372481199055,-0.21391120548185108,-0.2091406742175537,-0.2582687886336174,-0.1742536844897324,-0.32394925734057733,-0.31231107983515444,-0.1651407801959342,-0.2900008622477569,-0.5286956009674688,-0.2234141685834366,-0.4874429728550684,-0.2828904001274503,-0.24158030140236014,-0.16683308728253293,-0.32797287632421396,-0.2271908839353467
4,-0.12839110808578927,-0.04739381437806291,-0.15258072092685543,-0.29757654672382594,0.0047337473685231425,0.0038073003443322845,-0.005781942419246906,-0.18644317990322348,-0.07246941330017263,-0.23073734098119467,-0.1357636284855053,-0.11589632626740211,-0.19809223641703558,-0.20910546055978613,-0.05183890643877345,-0.1256540186610839,0.00972592276307574,0.006853523497390723,0.04082894457833714,-0.14570042164635777,0.1936494854383401,-0.11501609942037497,0.1438254015961543,0.09243684504217294,-0.06849356405905992,-0.007316928006735363
5,-0.05128439211344978,-0.07172941281476045,-0.019676161578800686,0.054423493819144964,0.07678766634897326,0.20283752107790887,-0.08683966233738437,0.19483688217926157,-0.27105158118585615,-0.020091242389410728,-0.014165038995577486,0.045148402716645934,0.1322916841442935,-0.07921622215931491,0.06545891073775315,0.037647219993730385,-0.13973024013816088,0.011128785287841482,-0.07819947129757963,-0.013200508019735116,-0.1712836142261036,-0.06322826443067003,0.23037972486053448,0.0785705899102339,0.035768598814559516,-0.08200866958225056
6,0.07312160111868585,-0.16987720634524342,-0.12535443560444398,-0.13654579685662888,0.06557439576597802,-0.10713387500163356,0.30346739521157007,-0.002093422789145233,-0.16168376654128774,-0.09705252502288941,0.20788377410042924,0.007517803234342729,-0.15634278322911271,0.3248795613030337,0.010750024308927004,0.23474929492517504,-0.10155825714367417,0.019235562535890705,-0.12700012078474737,-0.13132639105669233,0.13134160066424297,-0.28372698811662145,-0.0934986521181562,-0.23055211476542198,-0.0030666221764394375,-0.17765309082572805
7,-0.06498496604435973,-0.207838049996609,-0.05568139247101064,0.015001914318685694,-0.12237750979833248,-0.032821886567293984,-0.25427682869624385,0.0559290625156287,-0.08416466438619627,0.268610727192521,0.14690128450344953,0.0938913785574419,0.1094865446173547,0.23434283046253088,0.1371272890767304,-0.26854653648810767,-0.024679264731638985,-0.025901620354640803,0.11786780537222041,-0.04518193128444574,-0.21322522634699645,0.2559366903478417,-0.0688276819879474,-0.062375807159564464,-0.0914139757770513,0.09645791999742637
8,-0.01754541348218126,0.18149617772830118,-0.055384931622332836,0.005206280198119561,0.11372755495835804,0.0082124161574929,0.12907944918487296,-0.32159835946051507,-0.037723910815520775,0.02554006749859339,0.07641001271314801,0.06552554181157416,0.10638501950979064,-0.23241096275197357,-0.18094447614196055,0.04946225103346029,-0.18420820187260306,-0.185394083411928,-0.16090489196291327,-0.023445081892099366,-0.05386261283665361,0.0402021370595743,0.24935618392331949,0.12445407012259246,-0.24339852635295814,-0.32863928297983147
9,0.09483328818248724,0.15135394607833075,0.0033892678692907935,0.0037025222792499424,0.20325006024151554,-0.022058434049222465,0.10744270452600074,0.008795709975467372,-0.06760646801491216,-0.1250263554050927,0.028999599614296233,-0.015134117942255599,0.11445610514611881,-0.19302910497962644,0.1429576134843478,-0.0200801946182543,-0.20812053102632422,0.051776785217226146,0.04998254362296384,0.06904055440113722,0.07635004494480488,-0.30754078859868694,-0.021063819312353224,-0.0653386909250903,-0.07637308604029715,-0.21603747802337342
10,0.07134091652718572,0.01228938485975016,-0.12479261190640101,-0.08598065878473704,0.06493904385212991,-0.08372491774142043,0.07671729011229816,-0.0065792022106098,0.07543463324152232,-0.028639198027648832,-0.179509655659251,0.07708015840404417,0.14245607495127657,0.17642874012827828,0.016594063753449295,-0.013462008473427087,0.04780670114216472,0.040992470252789154,0.17720245674073426,-0.023354511724328616,0.005423396925004528,-0.19794964736826012,0.05930726759537139,0.07233834315501822,-0.17052780070619028,-0.06350595551203023
11,-0.040724964157427754,0.1559559829989699,0.1437315071102051,0.0880555474820809,0.13249457710530727,-0.12272100478030615,0.0014760249320379393,0.13719321951850227,0.00478457765696896,-0.039176254527512056,-0.01516395027477737,-0.03429361319680893,-0.1369004745860211,-0.32078232400797574,0.0021576032897694906,-0.2250015143814559,0.055065834330013594,-0.1026399401091086,0.1846958799269029,-0.20307891404008904,-0.016325765585357498,0.17024708611653958,0.26944920074075795,-0.11301090030775723,-0.2051927050620689,-0.01945798204882815
12,0.16709461877009654,0.051017654404862126,0.16076389126252616,0.036960904174426275,0.007340930997231751,-0.020990834168499242,0.04361328329268832,-0.04836376394235988,0.024547757449138244,0.017600315020378204,0.00788013985890472,0.11004115914069879,0.0940380391007222,-0.11237723775646086,-0.012754043484657245,-0.11967324100278526,0.08484358506684637,0.06539381475380197,-0.2025002975264697,0.04723938479420811,0.258440952088804,0.13227320421182942,0.041966490389658884,-0.13627837648891059,-0.15600285740819003,0.056136068225935365
13,-0.009507818449677689,-0.06635577196933783,0.004139996937370452,0.019815022928110756,-0.012060245846322995,-0.05095020667370871,-0.1039458010583772,0.014969293334189823,0.012727790721101757,0.14826846937849208,-0.12460200005419018,0.0611173016542033,0.14081229854981178,0.1871631288597983,0.16448819628432612,-0.08846831051929228,-0.004168950149893054,-0.15909648183042382,-0.09807891030919585,0.015149695227717922,0.06104905664475299,-0.13732937766581313,0.17168800445281132,-0.10612802938201463,0.0029795375120967825,0.06855482546330914
14,0.021222807976106893,-0.05751988814277546,0.07715100012577097,-0.14501279513894672,-0.22622319914846709,0.06194551556273177,0.03135425356647413,0.2340639901101459,-0.03906464740248694,0.0243794355622656,-0.1487504951729609,-0.029356471164492692,-0.21251690363701767,0.13964049123039793,0.04223879872920326,0.04752801952380272,0.11181116909797768,-0.07656290391612519,0.031165699377038843,-0.035141234028900716,-0.03131102187619492,0.08298985045018432,0.009083710594526263,-0.07208514231968843,-0.09459207377543793,0.06710704857663327
15,0.037727406923868397,-0.09411740629564079,0.14309061669729922,-0.03655809503803724,0.06635780450588329,-0.2935487887455238,0.05142904802503799,0.04677478149767367,-0.07918334455504768,-0.12184555257371432,-0.12580428513354358,-0.041049140253356875,-0.13914485856113573,0.22323836364913344,0.010917813451060299,-0.05099858165892219,0.011611341360230135,0.06953864211862222,-0.1639881757989395,-0.022261391998728897,-0.03089852694045661,-0.024510659242245214,0.05633317455419849,-0.24703855098207986,0.08020637456881864,-0.07553525281612893
16,-0.2171184011936203,-0.19488647102375717,-0.07444217511911502,-0.01206196163442537,0.11752555175002294,-0.10058905027249115,0.08060829865950632,-0.05864592390436005,0.1498092658003328,0.04126835231726933,0.4183799082510609,0.12174128457771234,-0.17669670535062182,-0.055810826370576945,-0.1338782560799749,0.04825250256183479,0.02947963773850451,-0.14353683321406413,0.2009149766363245,-0.04137389753833522,-0.0035166819492076437,0.21877501510312997,0.09273094536518034,0.10071560567353843,0.03680679143441683,-0.24132300694780415
17,-0.05038835834792316,0.13105432203400885,-0.05796845068078568,0.12406614581787256,0.15728003358718967,-0.05773871974525921,-0.2764612321478927,0.017168856617562324,-0.08286140839284516,0.07368334890961392,0.19396467589364677,-0.10203421760555649,0.03933710909148985,-0.15760281110700708,0.12382066319421253,0.0976160822916052,0.003803668306986821,-0.05960987564466469,0.06802684773626651,-0.07347308614785414,0.05840001472763834,-0.2886513844827533,0.13769792056220062,0.1492220181452454,0.04923869709764988,0.0068849353194134905
