method,group_id,leader,member,member_error_diff,bound,bound_violated
groups,0,58,58,0.0,0.0,False
groups,0,58,12,3.70576526967659,9.4395754800541,False
groups,0,58,80,1.8764410476903066,5.292415998394165,False
groups,0,58,22,0.6783514116495297,2.9567113500401545,False
groups,0,58,36,1.9370162897739789,5.721462171957199,False
groups,0,58,70,0.657498142525526,3.3874947744845185,False
groups,0,58,65,0.7184826125540837,2.3125515270256645,False
groups,0,58,0,1.8975162425393108,3.669038426965297,False
groups,0,58,75,1.6723450096028927,2.9422965916929877,False
groups,0,58,78,0.7030135109990994,2.9083368974204618,False
groups,0,58,97,1.7979609178225928,3.701720634716049,False
groups,0,58,60,1.60084974605968,3.8462121686662556,False
groups,0,58,21,0.920551117088948,1.6678836058772037,False
groups,0,58,51,0.0006896857009195401,1.1931421200286205,False
groups,0,58,68,0.7064876060985767,2.027786829757687,False
groups,0,58,58,0.0,0.0,False
groups,0,58,37,0.7322107016048847,1.2854147320761646,False
groups,0,58,41,0.1926766378514344,5.789254252452569,False
groups,0,58,35,2.0439473506504413,3.693870507517417,False
groups,0,58,79,0.4318761818367278,3.890286033574701,False
groups,0,58,23,2.8494478112033192,5.300711463791077,False
groups,0,58,94,2.0300119276386113,3.400025680100061,False
groups,0,58,14,1.4038403110731537,2.294209473279457,False
groups,0,58,84,0.7581174449529016,3.020539220939115,False
groups,0,58,87,2.5513889555276563,4.485686638801296,False
groups,0,58,31,2.416250259508672,7.627925498772118,False
groups,0,58,18,3.0182825942588067,7.011814586809556,False
groups,1,50,50,0.0,0.0,False
groups,1,50,93,4.447846038554545,86.92598730289826,False
groups,1,50,74,2.242137374176508,6.002210752652552,False
groups,1,50,90,0.5914350098460801,6.676368534999773,False
groups,1,50,19,2.770625869007958,6.220436292370473,False
groups,1,50,15,2.726914747819265,6.086965323771181,False
groups,1,50,83,1.903221091987504,7.327775896252057,False
groups,1,50,5,0.17708246864273747,8.2983064527765,False
groups,1,50,17,2.0624661146834455,4.618575328557933,False
groups,1,50,77,0.206658505045624,8.908452266469787,False
groups,1,50,99,1.1672588390104295,4.1673726211532545,False
groups,1,50,63,0.352708274857946,4.42687132094616,False
groups,1,50,45,1.5194155330213306,14.257921720487563,False
groups,1,50,20,1.605345221820258,3.478418685584234,False
groups,1,50,62,0.16717526837915386,11.043000671442808,False
groups,1,50,89,0.4183528440298545,12.679312449038838,False
groups,1,50,88,2.7686309618566156,10.932144822852743,False
groups,1,50,81,0.3520740830967384,14.240235276086572,False
groups,1,50,92,2.4429725674326193,5.504306285698769,False
groups,1,50,38,1.1525080333018138,18.62592890619928,False
groups,1,50,64,0.7896375647672045,2.8979076539099227,False
groups,1,50,29,2.132027437788821,6.578094240334332,False
groups,1,50,55,0.10807941901632034,1.9502480821269015,False
groups,1,50,25,0.5263165505731706,1.7561482489893916,False
groups,1,50,59,0.8378725879388043,1.7031254171555532,False
groups,1,50,33,1.0440164691183895,14.605903097996057,False
groups,1,50,66,0.6746334512160246,22.69720571081148,False
groups,1,50,46,0.8252260468062929,2.1590059983690115,False
groups,1,50,42,0.7262536212951147,24.628220311899977,False
groups,1,50,49,1.5126405507685519,16.302767796818852,False
groups,1,50,27,1.2090698399106259,2.4855340264948027,False
groups,1,50,54,1.3846723144099542,3.527423771929914,False
groups,1,50,50,0.0,0.0,False
groups,1,50,24,0.6822185649299968,1.4718141157435225,False
groups,1,50,56,3.442975594931653,22.354468651516196,False
groups,1,50,3,0.4700683705172679,40.750553730843066,False
groups,1,50,7,1.1926686601498488,25.646286612076555,False
groups,1,50,26,0.6666133712218425,1.7962741545409986,False
groups,1,50,53,0.14600663633164856,53.80585124927568,False
groups,1,50,28,0.07442737310850589,48.938011820390145,False
groups,1,50,4,1.3016634804415332,2.725038211082804,False
groups,1,50,61,0.6538202256463563,4.168493990043828,False
groups,1,50,69,1.264734141159039,8.288477642720704,False
groups,1,50,72,3.5356572757423095,50.398118107330596,False
groups,1,50,44,2.989692112925809,7.382903506304244,False
groups,1,50,91,0.6591577195884213,20.090884455569835,False
groups,1,50,9,3.4711594265037604,9.311223741720289,False
groups,1,50,40,0.18915422153492045,8.659695612959355,False
groups,1,50,30,2.527750276081136,7.527097278804128,False
groups,1,50,98,0.4467560125033003,10.480393149666291,False
groups,1,50,16,0.8174976999261219,9.78207929417933,False
groups,1,50,71,1.0859376714287237,9.201839000205101,False
groups,1,50,47,3.0734468583184196,9.654731533028281,False
groups,1,50,11,3.4382449341551933,10.991918008217738,False
groups,1,50,43,1.9568903137890032,9.661508032331144,False
groups,1,50,48,0.7707940462487954,15.582848596346098,False
groups,1,50,86,1.2658611289028272,13.985753617097505,False
groups,1,50,85,2.504330548869305,11.935666981506323,False
groups,1,50,1,1.2653205770059088,28.6368886207487,False
groups,1,50,96,1.4639384221927116,24.514371759733407,False
groups,1,50,57,3.510712574142204,15.80757155682537,False
groups,1,50,13,1.958912501478693,16.945033350964447,False
groups,1,50,76,2.815234258756334,19.662135643008966,False
groups,1,50,6,2.393498247186244,26.119519268066842,False
groups,1,50,39,3.856203757918294,21.585934240331703,False
groups,1,50,2,2.556132377707911,22.374175335869968,False
groups,1,50,32,2.5595882317695953,44.81103290515091,False
groups,1,50,8,2.695025051847395,28.80215911268055,False
groups,1,50,67,4.2124601372972705,28.107180804142857,False
groups,1,50,73,3.1343668060049623,77.7377613687245,False
groups,1,50,52,4.044836912402815,30.018719463573007,False
groups,1,50,10,3.228877485741606,41.54596852372286,False
groups,1,50,95,4.640901908717382,47.25004465631925,False
groups,1,50,82,3.954310582389226,79.46677607622269,False
groups,1,50,34,4.379904308598,55.1234518785102,False
